# See the documentation http://cosmologist.info/notes/CAMB.pdf
#   k/h (1/Mpc)    P_k (h^{-3} Mpc^3)
    0.16318E+01    0.19294E+02
    0.16647E+01    0.18384E+02
    0.16984E+01    0.17517E+02
    0.17327E+01    0.16689E+02
    0.17677E+01    0.15899E+02
    0.18034E+01    0.15145E+02
    0.18398E+01    0.14427E+02
    0.18770E+01    0.13741E+02
    0.19149E+01    0.13087E+02
    0.19536E+01    0.12463E+02
    0.19930E+01    0.11868E+02
    0.20333E+01    0.11301E+02
    0.20744E+01    0.10760E+02
    0.21163E+01    0.10244E+02
    0.21590E+01    0.97530E+01
    0.22026E+01    0.92848E+01
    0.22471E+01    0.88387E+01
    0.22925E+01    0.84139E+01
    0.23388E+01    0.80093E+01
    0.23861E+01    0.76241E+01
